Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Shares (organic),Shares (sponsored),Shares (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
04/21/2022,24,0,24,13,1,0,1,0,0,0,0,0,0,0,0,0,0.041666667,0,0.041666667
04/22/2022,8,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/23/2022,9,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/24/2022,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/25/2022,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/26/2022,23,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/27/2022,51,0,51,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/28/2022,13,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/29/2022,31,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/30/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2022,10,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/02/2022,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/03/2022,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2022,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2022,62,0,62,24,1,0,1,0,0,0,0,0,0,0,0,0,0.016129032,0,0.016129032
05/06/2022,17,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2022,11,0,11,5,0,0,0,1,0,1,0,0,0,0,0,0,0.090909091,0,0.090909091
05/08/2022,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/2022,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/10/2022,20,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/11/2022,12,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/12/2022,43,0,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2022,25,0,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2022,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/15/2022,10,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/16/2022,10,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/17/2022,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/18/2022,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/19/2022,20,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/20/2022,8,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/21/2022,13,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/22/2022,42,0,42,11,1,0,1,0,0,0,0,0,0,0,0,0,0.023809524,0,0.023809524
05/23/2022,6,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/24/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/25/2022,9,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/26/2022,14,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/27/2022,9,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/28/2022,12,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/29/2022,10,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/30/2022,15,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/31/2022,7,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2022,48,0,48,7,2,0,2,0,0,0,0,0,0,0,0,0,0.041666667,0,0.041666667
06/02/2022,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/03/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/04/2022,8,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2022,6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/06/2022,7,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/07/2022,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2022,47,0,47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/09/2022,31,2249,2280,15,0,36,36,0,0,0,0,0,0,0,0,0,0,0.016007114,0.015789474
06/10/2022,3,3618,3621,2,0,20,20,0,0,0,0,0,0,0,0,0,0,0.005527916,0.005523336
06/11/2022,2,3330,3332,2,0,11,11,0,0,0,0,0,0,0,0,0,0,0.003303303,0.003301321
06/12/2022,4,1903,1907,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0.00262743,0.002621919
06/13/2022,5,3389,3394,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0.002360578,0.002357101
06/14/2022,22,4607,4629,16,0,7,7,1,0,1,0,0,0,0,0,0,0.045454545,0.001519427,0.001728235
06/15/2022,24,7895,7919,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0.002533249,0.002525571
06/16/2022,56,8031,8087,29,0,20,20,0,0,0,0,0,0,0,0,0,0,0.00249035,0.002473105
06/17/2022,9,7221,7230,8,0,21,21,0,0,0,0,0,0,0,0,0,0,0.002908184,0.002904564
06/18/2022,9,4449,4458,6,0,11,11,0,0,0,0,0,0,0,0,0,0,0.002472466,0.002467474
06/19/2022,10,4028,4038,7,0,10,10,0,0,0,0,0,0,0,0,0,0,0.002482622,0.002476474
06/20/2022,8,6930,6938,6,0,23,23,0,0,0,0,0,0,0,0,0,0,0.003318903,0.003315076
06/21/2022,3,8099,8102,2,1,19,20,0,0,0,0,0,0,0,0,0,0.333333333,0.002345969,0.002468526
06/22/2022,8,4151,4159,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0.001204529,0.001202212
06/23/2022,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/24/2022,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/25/2022,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/27/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/28/2022,14,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/29/2022,13,0,13,8,1,0,1,0,0,0,0,0,0,0,0,0,0.076923077,0,0.076923077
06/30/2022,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/01/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2022,11,0,11,4,1,0,1,0,0,0,0,0,0,0,0,0,0.090909091,0,0.090909091
07/03/2022,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/04/2022,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/05/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
